Nate,Nathan,NF,NF,2024-05-14,NFReal Music,USA-NT-18-001,NF,SR-NT-18-001,1504.0,910.0,250.0,250.0,15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Hate Myself, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-012, NF, SR-NT-19-012, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
I Miss the Days, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-013, NF, SR-NT-19-013, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
No Excuses, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-014, NF, SR-NT-19-014, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Sbali,Lindokuhle,Intaba Yase Dubai,Intaba Yase Dubai,2024-05-26,3.7 Entertainment,RSA-DUB-22-001,Intaba Yase Dubai,SR-DUB-22-001,1300.0,800.0,200.0,300.0,15000.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Yisabawethu, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-002, Intaba yase Dubai, SR-DUB-22-002, 1200.0, 750.0, 180.0, 280.0, 14000.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Sponono, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-003, Intaba yase Dubai, SR-DUB-22-003, 1250.0, 780.0, 190.0, 290.0, 14500.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Uzobuya, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-004, Intaba yase Dubai, SR-DUB-22-004, 1150.0, 720.0, 170.0, 270.0, 13500.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Sabela, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-005, Intaba yase Dubai, SR-DUB-22-005, 1280.0, 790.0, 195.0, 295.0, 14800.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Mali, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-007, Intaba yase Dubai, SR-DUB-22-007, 1180.0, 740.0, 175.0, 275.0, 13800.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Emaphusheni, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-008, Intaba yase Dubai, SR-DUB-22-008, 1230.0, 770.0, 187.0, 287.0, 14300.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Get the Bag, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-009, Intaba yase Dubai, SR-DUB-22-009, 1160.0, 730.0, 172.0, 272.0, 13600.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
Ngikhala, Intaba yase Dubai, Intaba yase Dubai, Intaba yase Dubai, 2022-01-15,3.7 Entertainment, RSA-DUB-22-010, Intaba yase Dubai, SR-DUB-22-010, 1290.0, 800.0, 200.0, 300.0, 15100.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA+jAe/zB5/F4xqm/RAjTHMMki3/U70PtnjcKKVq6CRVDzlqpJB4OQIyD4prhDQmPQXtEtf895HUi1n4tShSdeFnA7T31cKdXx7tMMZswsLKUyPxB/1qoCyKnXASZYsd3RPeKcaCxIakJ3+JDezgEgs5J9OIETpJkYCToB75j8beZOyQ71wfnf6pZOs+gcIJCKSsHG36lm2A8eb+MU1Z5blHmXisNrZ5rTzOKvqODq5vcOowX4b8y4lMkyaJgeWjA8UL3yynKFIQ9JxlMQBC47RjyFCB4PyzbyX/hBXQ3zwIQVWMb/5HEVdhI0ICaJDq737ejjHkeF1JMGbXGQuN/qTQIDAQAB
